Image URL,Title,Edition,rating-avg,isbn10,isbn13,Publication date,language,Publishers,Tags
https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F51yJXtd1L.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.in%2FHigher-Engineering-Mathematics-B-S-Grewal%2Fdp%2F8193328493&tbnid=ezvSVPztzzmbuM&vet=12ahUKEwiN04Tz_ZLsAhVbTSsKHap8CD0QMygAegUIARDGAQ..i&docid=oABkzdWOPaYt5M&w=500&h=500&q=Higher%20Engineering%20Mathematics&ved=2ahUKEwiN04Tz_ZLsAhVbTSsKHap8CD0QMygAegUIARDGAQ,Higher Engineering Mathematics,44,4.35,9.78819E+12,978-8193328491,01-01-1965,English,KHANNA PUBLISHERS,Mathematics
https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F41TpD9%2BtxWL._SX258_BO1%2C204%2C203%2C200_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.in%2FComputer-Fundamentals-Programming-Reema-Thareja%2Fdp%2F0199463735&tbnid=rSRvlgGUNqf0gM&vet=12ahUKEwiW3Kyp_pLsAhWNjUsFHYnSAXQQMygBegUIARCcAQ..i&docid=V4_2KK4WmaWXFM&w=260&h=327&q=Computer%20Fundamentals%20and%20Programming&ved=2ahUKEwiW3Kyp_pLsAhWNjUsFHYnSAXQQMygBegUIARCcAQ,Computer Fundamentals and Programming,2,4.6,9.7802E+12,978-0199463732,27-06-2016,English,Oxford University Press,Programming
https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F41MbH06P3XL._SX331_BO1%2C204%2C203%2C200_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.in%2FMachine-Learning-Absolute-Beginners-Introduction%2Fdp%2F152095140X&tbnid=5Tpk0JdUXtpJZM&vet=12ahUKEwj66YHC_pLsAhVdmUsFHRNtAYYQMygBegUIARCvAQ..i&docid=oYEYVj5Nw-FFeM&w=333&h=499&itg=1&q=Machine%20Learning%20For%20Absolute%20Beginners&ved=2ahUKEwj66YHC_pLsAhVdmUsFHRNtAYYQMygBegUIARCvAQ,Machine Learning For Absolute Beginners,2,4.3,1549617214,978-1549617218,01-01-2018,English,Independently Published,Machine Learning
https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F51aTEU3k6IL._SX380_BO1%2C204%2C203%2C200_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.in%2FMachine-Learning-Python-R-Dummies%2Fdp%2F8126563052&tbnid=VQPZ-S_CefbbzM&vet=12ahUKEwjMwLaOgJPsAhVbFSsKHdzJD7YQMygAegUIARDsAQ..i&docid=-gfoINOsiWdJ7M&w=382&h=499&q=Machine%20Learning%20(in%20Python%20and%20R)%20For%20Dummies&ved=2ahUKEwjMwLaOgJPsAhVbFSsKHdzJD7YQMygAegUIARDsAQ,Machine Learning (in Python and R) For Dummies,1,4.2,9.78813E+12,978-8126563050,01-01-2016,English, Wiley,Machine Learning
https://www.google.com/imgres?imgurl=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F41d5vhJ82HL.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.in%2FMachine-Learning-Press-Essential-Knowledge-ebook%2Fdp%2FB08BT2NF3V&tbnid=Y3Na58wbkK5kIM&vet=12ahUKEwiLlfOXgJPsAhXYLSsKHceHDRcQMygAegUIARCjAQ..i&docid=e6J_J1TgnpPP9M&w=357&h=500&itg=1&q=Machine%20Learning%20%E2%80%93%20The%20New%20AI&ved=2ahUKEwiLlfOXgJPsAhXYLSsKHceHDRcQMygAegUIARCjAQ,Machine Learning – The New AI,1,4.05,262529513,978-0262529518,11-11-2016,English,MIT Press,Machine Learning
https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F71fqxXDY2ZL.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.in%2FPattern-Recognition-Learning-Information-Statistics%2Fdp%2F0387310738&tbnid=phc5mV7BLPLsvM&vet=12ahUKEwj8h9qggJPsAhVYSn0KHdivCpIQMygAegUIARCPAQ..i&docid=Lu-hOj20zCZ_RM&w=827&h=1117&q=Pattern%20Recognition%20and%20Machine%20Learning&ved=2ahUKEwj8h9qggJPsAhVYSn0KHdivCpIQMygAegUIARCPAQ,Pattern Recognition and Machine Learning,1,4.4,387310738,978-0387310732,15-02-2010,English,Springer ,Machine Learning
https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F51Jh66UZ9JL._SX258_BO1%2C204%2C203%2C200_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.in%2FFundamentals-Machine-Learning-Predictive-Analytics%2Fdp%2F0262029448&tbnid=c5HqjvOfsfDacM&vet=12ahUKEwiCvIyqgJPsAhWDXH0KHQHdDPUQMygAegUIARCOAQ..i&docid=SMbgFea4Z3soEM&w=260&h=331&q=Fundamentals%20of%20Machine%20Learning%20for%20Predictive%20Data%20Analytics&ved=2ahUKEwiCvIyqgJPsAhWDXH0KHQHdDPUQMygAegUIARCOAQ,Fundamentals of Machine Learning for Predictive Data Analytics,1,4.5,262029448,978-0262029445,04-09-2015,English,MIT Press,Machine Learning
https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-eu.ssl-images-amazon.com%2Fimages%2FI%2F51kzHv%252BXziL._SY445_QL70_ML2_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.in%2FMachine-Learning-Science-Algorithms-Sense-ebook%2Fdp%2FB00P82T41Q&tbnid=LMVDYTodqC78lM&vet=12ahUKEwjQqre0gJPsAhWmoksFHQHDCvIQMygAegUIARCDAQ..i&docid=lT_dlf2Hwz13EM&w=311&h=445&q=Machine%20Learning%3A%20The%20Art%20and%20Science%20of%20Algorithms%20that%20Make%20Sense%20of%20Data&ved=2ahUKEwjQqre0gJPsAhWmoksFHQHDCvIQMygAegUIARCDAQ,Machine Learning: The Art and Science of Algorithms that Make Sense of Data,1,4.08,1107096391,978-1107096394,20-09-2012,English,Cambridge University Press,Machine Learning
https://www.google.com/imgres?imgurl=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F51k4k44zXML.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.in%2FProgramming-Collective-Intelligence-Building-Applications-ebook%2Fdp%2FB00F8QDZWG&tbnid=al5oO38uReE5qM&vet=12ahUKEwigp8fIgJPsAhXcnEsFHVNuC64QMygAegUIARCPAQ..i&docid=YmgS7usfZE3-1M&w=381&h=500&q=Programming%20Collective%20Intelligence%3A%20Building%20Smart%20Web%202.0%20Applications&ved=2ahUKEwigp8fIgJPsAhXcnEsFHVNuC64QMygAegUIARCPAQ,Programming Collective Intelligence: Building Smart Web 2.0 Applications,1,4,596529325,978-0596529321,04-09-2007,English,O′Reilly ,Machine Learning
https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F71uG9OYCt4L.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.in%2FMachine-Learning-Hackers-Studies-Algorithms%2Fdp%2F9350236745&tbnid=ZRrgSLZmMuoA3M&vet=12ahUKEwjB1_PRgJPsAhUDGHIKHW3VBT0QMygAegUIARCKAQ..i&docid=LrULlJpXSaP31M&w=1024&h=1317&q=Machine%20Learning%20for%20Hackers%3A%20Case%20Studies%20and%20Algorithms%20to%20Get%20You%20Started&ved=2ahUKEwjB1_PRgJPsAhUDGHIKHW3VBT0QMygAegUIARCKAQ,Machine Learning for Hackers: Case Studies and Algorithms to Get You Started,1,3.2,596529325,978-9350236741,01-01-2012,English,Shroff,Machine Learning
https://www.google.com/imgres?imgurl=https%3A%2F%2Fimages-na.ssl-images-amazon.com%2Fimages%2FI%2F61nHC3YWZlL._AC_UL600_SR465%2C600_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.com%2FArtificial-Intelligence-Modern-Approach-3rd%2Fdp%2F0136042597&tbnid=7u_LaGXVpAblVM&vet=12ahUKEwijn-PZgJPsAhVRcSsKHTWhAFMQMygAegUIARCWAQ..i&docid=difpB9V3jlvFDM&w=465&h=600&q=Artificial%20Intelligence%3A%20A%20Modern%20Approach&ved=2ahUKEwijn-PZgJPsAhVRcSsKHTWhAFMQMygAegUIARCWAQ,Artificial Intelligence: A Modern Approach,3,4.32,596529325,978-9350236741,30-11-2009,English,Prentice Hall,Artificial Intelligence
https://www.google.com/imgres?imgurl=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F51gtG44GHfL._SX260_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.in%2FMake-Your-Own-Neural-Network-ebook%2Fdp%2FB01EER4Z4G&tbnid=2jva81VEbuI6bM&vet=12ahUKEwic57TsgJPsAhXOoUsFHSqwCdsQMygAegUIARCuAQ..i&docid=1T4tipSUv-TSxM&w=260&h=337&q=Make%20Your%20Own%20Neural%20Network&ved=2ahUKEwic57TsgJPsAhXOoUsFHSqwCdsQMygAegUIARCuAQ,Make Your Own Neural Network,1,4.42,596529325,978-9350236741,16-04-2016,English,CreateSpace Independent publishing platform,Artificial Intelligence
https://www.google.com/imgres?imgurl=https%3A%2F%2Fm.media-amazon.com%2Fimages%2FI%2F41h1LXbrzIL._SX260_.jpg&imgrefurl=https%3A%2F%2Fwww.amazon.com%2FArtificial-Intelligence-Humans-Fundamental-Algorithms-ebook%2Fdp%2FB00HAT0APE&tbnid=BenV-YVCmLnM6M&vet=12ahUKEwjS9Kv5gJPsAhXEm0sFHZPuAQkQMygAegUIARCQAQ..i&docid=265UqK3u-JzbdM&w=260&h=335&q=Artificial%20Intelligence%20for%20Humans%2C%20Volume%201%3A%20Fundamental%20Algorithms&ved=2ahUKEwjS9Kv5gJPsAhXEm0sFHZPuAQkQMygAegUIARCQAQ,"Artificial Intelligence for Humans, Volume 1: Fundamental Algorithms",1,3.7,1493682229,978-1493682225,26-11-2013,English,CreateSpace Independent Publishing Platform,Artificial Intelligence
