Image URL,Title,Edition,rating-avg,isbn10,isbn13,Publication date,language,Publishers,Tags
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500462368l/35704816._SX318_.jpg,C in Depth,3,4.43,9.78818E+12,978-8183330480,6/30/2009,English,BPB Publications ,C Programming
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1583228700l/52040308._SY475_.jpg,Python 3 Image Processing,1,4.61,9388511727,978-9388511728,6/7/2019,English,BPB PUBLICATIONS,Image Processing
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483426097l/33668199.jpg,A Practical Approach for Image Processing & Computer Vision In MATLAB,1,4.82,1541286022,978-1541286023,12/26/2016,English,CreateSpace Independent Publishing Platform,Image Processing
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1394282546l/21090940.jpg,Design for Embedded Image Processing on FPGAs,1,4.85,470828498,978-0470828496,9/13/2020,English,Wiley-IEEE Press,Image Processing
"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328705696i/8980101._UY630_SR1200,630_.jpg",Principles of Digital Image Processing: Advanced Methods,2,4.9,3319024981,978-1848829183,5/7/2013,English,Springer,Image Processing
"https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347645223i/3065954._UY630_SR1200,630_.jpg",Principles of Digital Image Processing: Core Algorithms ,1,4.91,1848001940,978-1848001947,3/10/2013,English,Springer,Image Processing
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348213905i/6078048._UY395_SS395_.jpg,Handbook of Image and Video Processing,2,4.92,9.78012E+12,978-0121197926,6/21/2005,English,Academic Press,Image Processing
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1420788440l/23616157.jpg,Introductory Digital Image Processing: A Remote Sensing Perspective,4,4.23,013405816X,978-0134058160,5/1/2015,English,Pearson,Image Processing
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348239530l/2711029.jpg,Fundamentals of Digital Image Processing,2,4.11,470844728,978-0470844724,1/4/2011,English,Pearson,Image Processing
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387750481l/17888132.jpg,Lessons from the Masters: Current Concepts in Astronomical Image Processing,1,4.32,1461478332,978-1461478331,8/11/2013,English,Springer,Image Processing
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1413666687i/23393173._UY414_SS414_.jpg,The Essential Guide to Image Processing,1,4.57,123744571,978-0123744579,6/11/2009,English,Academic Press,Image Processing
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1267749494i/3065956._UY245_SS245_.jpg,Principles Of Digital Image Processing: Fundamental Techniques,3,4.29,8132204964,978-8132204961,1/1/2012,English,SPRINGER (SIE),Image Processing
"https://images-na.ssl-images-amazon.com/images/I/41wcWflEqFL._SX339_BO1,204,203,200_.jpg",Edge Detection using Rough Set Theory,1,4.69,365976809X,978-3659768095,11/3/2015,English,LAP LAMBERT Academic Publishing,Image Processing
https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549198220l/43820959._SX318_.jpg,Deep Learning with Python and OpenCV,1,,1788627326,978-1788627320,11/4/2015,English,LAP LAMBERT Academic Publishing,Image Processing
